# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 12.1 Build 243 01/31/2013 Service Pack 1 SJ Web Edition
# File: K:\altera\12.1sp1\ModExp 2.0\ModExp.csv
# Generated on: Sat Jul 13 10:34:23 2013

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
e_buf[44],Input,PIN_F11,3,B3_N0,PIN_F11,,,,
e_buf[43],Input,PIN_A10,3,B3_N0,PIN_A10,,,,
e_buf[42],Input,PIN_A13,4,B4_N1,PIN_A13,,,,
e_buf[41],Input,PIN_A15,4,B4_N1,PIN_A15,,,,
e_buf[40],Input,PIN_C10,3,B3_N0,PIN_C10,,,,
e_buf[39],Input,PIN_D7,3,B3_N1,PIN_D7,,,,
e_buf[38],Input,PIN_A9,3,B3_N0,PIN_A9,,,,
e_buf[37],Input,PIN_F8,3,B3_N1,PIN_F8,,,,
e_buf[36],Input,PIN_A4,3,B3_N1,PIN_A4,,,,
e_buf[35],Input,PIN_B14,4,B4_N1,PIN_B14,,,,
e_buf[34],Input,PIN_B13,4,B4_N1,PIN_B13,,,,
e_buf[33],Input,PIN_B15,4,B4_N1,PIN_B15,,,,
e_buf[32],Input,PIN_B9,3,B3_N0,PIN_B9,,,,
e_buf[31],Input,PIN_D5,2,B2_N0,PIN_D5,,,,
e_buf[30],Input,PIN_A7,3,B3_N1,PIN_A7,,,,
e_buf[29],Input,PIN_B6,3,B3_N1,PIN_B6,,,,
e_buf[28],Input,PIN_A8,3,B3_N0,PIN_A8,,,,
e_buf[27],Input,PIN_E3,2,B2_N0,PIN_E3,,,,
e_buf[26],Input,PIN_C7,3,B3_N1,PIN_C7,,,,
e_buf[25],Input,PIN_A6,3,B3_N1,PIN_A6,,,,
e_buf[24],Input,PIN_B4,3,B3_N1,PIN_B4,,,,
e_buf[23],Input,PIN_D3,2,B2_N0,PIN_D3,,,,
e_buf[22],Input,PIN_B5,3,B3_N1,PIN_B5,,,,
e_buf[21],Input,PIN_E7,3,B3_N1,PIN_E7,,,,
e_buf[20],Input,PIN_B3,3,B3_N1,PIN_B3,,,,
e_buf[19],Input,PIN_D6,2,B2_N0,PIN_D6,,,,
e_buf[18],Input,PIN_B8,3,B3_N0,PIN_B8,,,,
e_buf[17],Input,PIN_A5,3,B3_N1,PIN_A5,,,,
e_buf[16],Input,PIN_A3,3,B3_N1,PIN_A3,,,,
e_buf[15],Input,PIN_F10,3,B3_N0,PIN_F10,,,,
e_buf[14],Input,PIN_A11,3,B3_N0,PIN_A11,,,,
e_buf[13],Input,PIN_C13,4,B4_N1,PIN_C13,,,,
e_buf[12],Input,PIN_A14,4,B4_N1,PIN_A14,,,,
e_buf[11],Input,PIN_D9,3,B3_N0,PIN_D9,,,,
e_buf[10],Input,PIN_E9,3,B3_N0,PIN_E9,,,,
e_buf[9],Input,PIN_F9,3,B3_N1,PIN_F9,,,,
e_buf[8],Input,PIN_D8,3,B3_N1,PIN_D8,,,,
e_buf[7],Input,PIN_D4,2,B2_N0,PIN_D4,,,,
e_buf[6],Input,PIN_B7,3,B3_N1,PIN_B7,,,,
e_buf[5],Input,PIN_C9,3,B3_N1,PIN_C9,,,,
e_buf[4],Input,PIN_F14,4,B4_N1,PIN_F14,,,,
e_buf[3],Input,PIN_A16,4,B4_N1,PIN_A16,,,,
e_buf[2],Input,PIN_E11,3,B3_N0,PIN_E11,,,,
e_buf[1],Input,PIN_B16,4,B4_N1,PIN_B16,,,,
e_buf[0],Input,PIN_D14,4,B4_N1,PIN_D14,,,,
exp_state[4],Output,PIN_Y17,7,B7_N0,PIN_Y17,,,,
exp_state[3],Output,PIN_W18,6,B6_N1,PIN_W18,,,,
exp_state[2],Output,PIN_E14,4,B4_N1,PIN_E14,,,,
exp_state[1],Output,PIN_U18,6,B6_N1,PIN_U18,,,,
exp_state[0],Output,PIN_V22,6,B6_N1,PIN_V22,,,,
getResult,Input,PIN_F13,4,B4_N1,PIN_F13,,,,
m_buf[63],Input,PIN_AB10,8,B8_N0,PIN_AB10,,,,
m_buf[62],Input,PIN_U10,8,B8_N0,PIN_U10,,,,
m_buf[61],Input,PIN_AB11,8,B8_N0,PIN_AB11,,,,
m_buf[60],Input,PIN_AB8,8,B8_N0,PIN_AB8,,,,
m_buf[59],Input,PIN_V11,8,B8_N0,PIN_V11,,,,
m_buf[58],Input,PIN_AA9,8,B8_N0,PIN_AA9,,,,
m_buf[57],Input,PIN_AB12,7,B7_N1,PIN_AB12,,,,
m_buf[56],Input,PIN_AA12,7,B7_N1,PIN_AA12,,,,
m_buf[55],Input,PIN_Y10,8,B8_N0,PIN_Y10,,,,
m_buf[54],Input,PIN_AB9,8,B8_N0,PIN_AB9,,,,
m_buf[53],Input,PIN_V9,8,B8_N1,PIN_V9,,,,
m_buf[52],Input,PIN_AA10,8,B8_N0,PIN_AA10,,,,
m_buf[51],Input,PIN_W8,8,B8_N1,PIN_W8,,,,
m_buf[50],Input,PIN_W11,8,B8_N0,PIN_W11,,,,
m_buf[49],Input,PIN_U9,8,B8_N0,PIN_U9,,,,
m_buf[48],Input,PIN_Y9,8,B8_N0,PIN_Y9,,,,
m_buf[47],Input,PIN_W9,8,B8_N0,PIN_W9,,,,
m_buf[46],Input,PIN_V12,7,B7_N1,PIN_V12,,,,
m_buf[45],Input,PIN_W12,7,B7_N1,PIN_W12,,,,
m_buf[44],Input,PIN_AB7,8,B8_N1,PIN_AB7,,,,
m_buf[43],Input,PIN_AA5,8,B8_N1,PIN_AA5,,,,
m_buf[42],Input,PIN_A12,4,B4_N1,PIN_A12,,,,
m_buf[41],Input,PIN_B12,4,B4_N1,PIN_B12,,,,
m_buf[40],Input,PIN_AA6,8,B8_N1,PIN_AA6,,,,
m_buf[39],Input,PIN_AA4,8,B8_N1,PIN_AA4,,,,
m_buf[38],Input,PIN_AB6,8,B8_N1,PIN_AB6,,,,
m_buf[37],Input,PIN_AB5,8,B8_N1,PIN_AB5,,,,
m_buf[36],Input,PIN_V4,1,B1_N1,PIN_V4,,,,
m_buf[35],Input,PIN_U8,8,B8_N1,PIN_U8,,,,
m_buf[34],Input,PIN_Y4,1,B1_N1,PIN_Y4,,,,
m_buf[33],Input,PIN_W4,1,B1_N1,PIN_W4,,,,
m_buf[32],Input,PIN_AA3,8,B8_N1,PIN_AA3,,,,
m_buf[31],Input,PIN_AB4,8,B8_N1,PIN_AB4,,,,
m_buf[30],Input,PIN_Y5,8,B8_N1,PIN_Y5,,,,
m_buf[29],Input,PIN_Y3,1,B1_N1,PIN_Y3,,,,
m_buf[28],Input,PIN_Y6,8,B8_N1,PIN_Y6,,,,
m_buf[27],Input,PIN_W3,1,B1_N1,PIN_W3,,,,
m_buf[26],Input,PIN_U4,1,B1_N1,PIN_U4,,,,
m_buf[25],Input,PIN_AB3,8,B8_N1,PIN_AB3,,,,
m_buf[24],Input,PIN_Y2,1,B1_N1,PIN_Y2,,,,
m_buf[23],Input,PIN_W5,1,B1_N1,PIN_W5,,,,
m_buf[22],Input,PIN_J6,2,B2_N1,PIN_J6,,,,
m_buf[21],Input,PIN_Y7,8,B8_N1,PIN_Y7,,,,
m_buf[20],Input,PIN_AA7,8,B8_N1,PIN_AA7,,,,
m_buf[19],Input,PIN_G2,2,B2_N1,PIN_G2,,,,
m_buf[18],Input,PIN_J4,2,B2_N1,PIN_J4,,,,
m_buf[17],Input,PIN_G1,2,B2_N1,PIN_G1,,,,
m_buf[16],Input,PIN_J3,2,B2_N1,PIN_J3,,,,
m_buf[15],Input,PIN_W7,8,B8_N1,PIN_W7,,,,
m_buf[14],Input,PIN_H2,2,B2_N1,PIN_H2,,,,
m_buf[13],Input,PIN_J2,2,B2_N1,PIN_J2,,,,
m_buf[12],Input,PIN_H1,2,B2_N1,PIN_H1,,,,
m_buf[11],Input,PIN_J5,2,B2_N1,PIN_J5,,,,
m_buf[10],Input,PIN_M22,6,B6_N0,PIN_M22,,,,
m_buf[9],Input,PIN_M21,6,B6_N0,PIN_M21,,,,
m_buf[8],Input,PIN_AA11,8,B8_N0,PIN_AA11,,,,
m_buf[7],Input,PIN_AB13,7,B7_N1,PIN_AB13,,,,
m_buf[6],Input,PIN_J1,2,B2_N1,PIN_J1,,,,
m_buf[5],Input,PIN_AA8,8,B8_N0,PIN_AA8,,,,
m_buf[4],Input,PIN_V8,8,B8_N1,PIN_V8,,,,
m_buf[3],Input,PIN_F2,2,B2_N1,PIN_F2,,,,
m_buf[2],Input,PIN_B10,3,B3_N0,PIN_B10,,,,
m_buf[1],Input,PIN_H3,2,B2_N1,PIN_H3,,,,
m_buf[0],Input,PIN_E8,3,B3_N1,PIN_E8,,,,
res_out[63],Output,PIN_U20,6,B6_N1,PIN_U20,,,,
res_out[62],Output,PIN_P20,6,B6_N0,PIN_P20,,,,
res_out[61],Output,PIN_R20,6,B6_N0,PIN_R20,,,,
res_out[60],Output,PIN_AB18,7,B7_N0,PIN_AB18,,,,
res_out[59],Output,PIN_M19,6,B6_N0,PIN_M19,,,,
res_out[58],Output,PIN_AA13,7,B7_N1,PIN_AA13,,,,
res_out[57],Output,PIN_N21,6,B6_N0,PIN_N21,,,,
res_out[56],Output,PIN_AB15,7,B7_N1,PIN_AB15,,,,
res_out[55],Output,PIN_P18,6,B6_N0,PIN_P18,,,,
res_out[54],Output,PIN_AA18,7,B7_N0,PIN_AA18,,,,
res_out[53],Output,PIN_W22,6,B6_N1,PIN_W22,,,,
res_out[52],Output,PIN_U13,7,B7_N1,PIN_U13,,,,
res_out[51],Output,PIN_W21,6,B6_N1,PIN_W21,,,,
res_out[50],Output,PIN_AB16,7,B7_N1,PIN_AB16,,,,
res_out[49],Output,PIN_AA17,7,B7_N1,PIN_AA17,,,,
res_out[48],Output,PIN_U14,7,B7_N0,PIN_U14,,,,
res_out[47],Output,PIN_W15,7,B7_N0,PIN_W15,,,,
res_out[46],Output,PIN_AA15,7,B7_N1,PIN_AA15,,,,
res_out[45],Output,PIN_Y14,7,B7_N0,PIN_Y14,,,,
res_out[44],Output,PIN_N22,6,B6_N0,PIN_N22,,,,
res_out[43],Output,PIN_AB17,7,B7_N1,PIN_AB17,,,,
res_out[42],Output,PIN_AA14,7,B7_N1,PIN_AA14,,,,
res_out[41],Output,PIN_Y16,7,B7_N0,PIN_Y16,,,,
res_out[40],Output,PIN_M18,6,B6_N0,PIN_M18,,,,
res_out[39],Output,PIN_V14,7,B7_N1,PIN_V14,,,,
res_out[38],Output,PIN_AA16,7,B7_N1,PIN_AA16,,,,
res_out[37],Output,PIN_W14,7,B7_N1,PIN_W14,,,,
res_out[36],Output,PIN_Y13,7,B7_N1,PIN_Y13,,,,
res_out[35],Output,PIN_L18,5,B5_N1,PIN_L18,,,,
res_out[34],Output,PIN_AB14,7,B7_N1,PIN_AB14,,,,
res_out[33],Output,PIN_L19,5,B5_N1,PIN_L19,,,,
res_out[32],Output,PIN_P19,6,B6_N0,PIN_P19,,,,
res_out[31],Output,PIN_T2,1,B1_N0,PIN_T2,,,,
res_out[30],Output,PIN_N2,1,B1_N0,PIN_N2,,,,
res_out[29],Output,PIN_M5,1,B1_N0,PIN_M5,,,,
res_out[28],Output,PIN_R5,1,B1_N1,PIN_R5,,,,
res_out[27],Output,PIN_R6,1,B1_N1,PIN_R6,,,,
res_out[26],Output,PIN_N3,1,B1_N0,PIN_N3,,,,
res_out[25],Output,PIN_P5,1,B1_N0,PIN_P5,,,,
res_out[24],Output,PIN_P3,1,B1_N0,PIN_P3,,,,
res_out[23],Output,PIN_P4,1,B1_N1,PIN_P4,,,,
res_out[22],Output,PIN_P2,1,B1_N0,PIN_P2,,,,
res_out[21],Output,PIN_R4,1,B1_N1,PIN_R4,,,,
res_out[20],Output,PIN_T1,1,B1_N0,PIN_T1,,,,
res_out[19],Output,PIN_V1,1,B1_N1,PIN_V1,,,,
res_out[18],Output,PIN_R2,1,B1_N0,PIN_R2,,,,
res_out[17],Output,PIN_T3,1,B1_N1,PIN_T3,,,,
res_out[16],Output,PIN_U3,1,B1_N1,PIN_U3,,,,
res_out[15],Output,PIN_P6,1,B1_N0,PIN_P6,,,,
res_out[14],Output,PIN_T6,1,B1_N1,PIN_T6,,,,
res_out[13],Output,PIN_T5,1,B1_N1,PIN_T5,,,,
res_out[12],Output,PIN_N6,1,B1_N0,PIN_N6,,,,
res_out[11],Output,PIN_Y1,1,B1_N1,PIN_Y1,,,,
res_out[10],Output,PIN_N4,1,B1_N0,PIN_N4,,,,
res_out[9],Output,PIN_P1,1,B1_N0,PIN_P1,,,,
res_out[8],Output,PIN_M6,1,B1_N0,PIN_M6,,,,
res_out[7],Output,PIN_N1,1,B1_N0,PIN_N1,,,,
res_out[6],Output,PIN_U2,1,B1_N1,PIN_U2,,,,
res_out[5],Output,PIN_U1,1,B1_N1,PIN_U1,,,,
res_out[4],Output,PIN_V2,1,B1_N1,PIN_V2,,,,
res_out[3],Output,PIN_N5,1,B1_N0,PIN_N5,,,,
res_out[2],Output,PIN_W1,1,B1_N1,PIN_W1,,,,
res_out[1],Output,PIN_W2,1,B1_N1,PIN_W2,,,,
res_out[0],Output,PIN_R1,1,B1_N0,PIN_R1,,,,
reset,Input,PIN_M2,1,B1_N0,PIN_M2,,,,
startCompute,Input,PIN_L21,5,B5_N1,PIN_L21,,,,
startInput,Input,PIN_L22,5,B5_N1,PIN_L22,,,,
state[3],Output,PIN_E15,4,B4_N0,PIN_E15,,,,
state[2],Output,PIN_K18,5,B5_N1,PIN_K18,,,,
state[1],Output,PIN_K22,5,B5_N1,PIN_K22,,,,
state[0],Output,PIN_P22,6,B6_N0,PIN_P22,,,,
